threshold,precision,recall,f1,accuracy,auc
0.0,0.44,1.0,0.62,0.44,0.62
0.06,0.44,1.0,0.62,0.44,0.62
0.11,0.44,1.0,0.62,0.44,0.62
0.17,0.44,1.0,0.62,0.44,0.62
0.22,0.45,1.0,0.62,0.45,0.62
0.28,0.45,1.0,0.62,0.45,0.62
0.33,0.45,0.99,0.62,0.46,0.62
0.39,0.47,0.95,0.62,0.49,0.62
0.44,0.51,0.78,0.61,0.56,0.62
0.5,0.53,0.53,0.53,0.58,0.62
0.56,0.57,0.3,0.39,0.59,0.62
0.61,0.59,0.05,0.1,0.56,0.62
0.67,0.5,0.01,0.01,0.56,0.62
0.72,0.0,0.0,0.0,0.56,0.62
0.78,0.0,0.0,0.0,0.56,0.62
0.83,0.0,0.0,0.0,0.56,0.62
0.89,0.0,0.0,0.0,0.56,0.62
0.94,0.0,0.0,0.0,0.56,0.62
1.0,0.0,0.0,0.0,0.56,0.62
