Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
WN,2786,OAK,ONT,7,635,70,1
OO,6471,OMA,DEN,7,1161,107,0
AS,602,SEA,LAS,6,460,142,0
FL,633,BWI,DAY,7,630,90,0
CO,1614,IAH,MFE,2,520,74,0
WN,1265,SDF,MDW,4,470,75,0
MQ,3347,SGF,DFW,7,770,85,1
WN,2283,MCO,BUF,5,760,155,1
MQ,4103,LIT,ORD,2,1065,120,1
WN,1013,PHX,AUS,5,640,125,1
WN,1414,PHX,LAS,3,870,65,0
YV,7282,CHS,ORD,4,746,142,0
OO,6948,COS,ORD,2,360,146,0
F9,377,MKE,DEN,2,510,155,0
EV,7336,JAX,DTW,2,1099,147,1
DL,2038,ATL,DCA,3,920,103,1
UA,702,ORD,PHX,1,1021,226,1
WN,2343,LAS,PHX,6,595,70,1
AA,1786,TPA,JFK,6,800,160,0
CO,333,LGA,IAH,4,405,235,0
US,954,FLL,PHL,5,470,156,0
9E,4267,MEM,GTR,2,1165,56,0
US,1729,BUF,CLT,6,518,118,0
DL,1570,STL,ATL,1,615,90,1
B6,633,BOS,SFO,5,555,400,0
AA,2465,DFW,LAX,4,1070,205,1
WN,336,PHL,BOS,3,1245,85,1
US,49,LAS,DCA,6,720,267,1
US,1094,PHL,RDU,1,820,79,0
EV,7095,GSO,IAD,6,360,67,0
DL,2430,DTW,GRB,3,730,81,0
DL,2379,SDF,ATL,4,425,94,0
AA,2096,DFW,BWI,1,725,170,0
9E,4238,RST,DTW,5,385,104,0
WN,2,DAL,LIT,1,480,60,1
DL,2250,LAS,MSP,1,950,187,1
DL,2087,ATL,RSW,1,810,99,0
WN,1116,OAK,SNA,4,1215,80,1
9E,3863,PIA,DTW,3,976,89,1
XE,2547,ATL,IAH,2,820,135,0
US,966,CLT,BNA,2,707,88,0
XE,3125,BTR,IAH,2,945,74,0
DL,2431,LGA,DTW,6,745,124,0
DL,2712,ATL,ORD,5,1140,132,1
AS,854,LIH,SEA,1,540,329,0
WN,173,LIT,MDW,7,445,100,0
WN,532,PHX,MDW,5,375,200,1
US,879,CLT,ILM,4,985,57,0
OO,6311,SBP,LAX,1,1220,70,0
AA,12,SFO,JFK,3,565,334,0
WN,606,STL,MCI,3,1030,65,1
XE,3085,DSM,IAH,4,360,154,0
OO,4446,SLC,BIL,1,920,86,0
UA,517,IAD,DEN,3,742,233,0
XE,3061,OKC,IAH,3,730,84,0
F9,667,DEN,SFO,6,1275,156,1
AA,1546,SNA,DFW,7,1015,165,0
OO,6228,DEN,GUC,6,685,50,0
DL,2173,ATL,MIA,4,650,115,0
OO,6315,SFO,BFL,4,449,74,0
EV,5222,ATL,BTR,3,1310,98,0
WN,667,TPA,JAX,3,710,50,1
OH,6347,JFK,DFW,4,1145,251,1
OH,6515,JAX,LGA,2,995,147,0
OO,6762,DEN,SBA,7,747,159,0
XE,5936,ORD,ATW,4,485,50,0
AA,1945,ATL,MIA,1,1110,130,0
WN,3567,ELP,ABQ,1,420,55,1
WN,1233,ABQ,LAS,4,1225,95,1
EV,5062,GSO,ATL,3,585,90,0
