threshold,precision,recall,f1,accuracy,auc
0.0,0.44,1.0,0.62,0.44,0.55
0.06,0.44,1.0,0.62,0.44,0.55
0.11,0.44,1.0,0.62,0.44,0.55
0.17,0.45,1.0,0.62,0.45,0.55
0.22,0.44,0.97,0.61,0.44,0.55
0.28,0.44,0.95,0.61,0.45,0.55
0.33,0.45,0.89,0.6,0.47,0.55
0.39,0.47,0.68,0.56,0.52,0.55
0.44,0.49,0.53,0.51,0.55,0.55
0.5,0.48,0.33,0.39,0.55,0.55
0.56,0.52,0.19,0.28,0.56,0.55
0.61,0.56,0.09,0.15,0.56,0.55
0.67,0.56,0.04,0.08,0.56,0.55
0.72,0.0,0.0,0.0,0.56,0.55
0.78,0.0,0.0,0.0,0.56,0.55
0.83,0.0,0.0,0.0,0.56,0.55
0.89,0.0,0.0,0.0,0.56,0.55
0.94,0.0,0.0,0.0,0.56,0.55
1.0,0.0,0.0,0.0,0.56,0.55
