threshold,precision,recall,f1,accuracy,auc
0.0,0.44,1.0,0.62,0.44,0.66
0.06,0.44,1.0,0.62,0.44,0.66
0.11,0.45,1.0,0.62,0.45,0.66
0.17,0.47,0.97,0.63,0.49,0.66
0.22,0.48,0.93,0.64,0.53,0.66
0.28,0.5,0.89,0.64,0.56,0.66
0.33,0.52,0.81,0.63,0.58,0.66
0.39,0.53,0.73,0.62,0.59,0.66
0.44,0.54,0.63,0.58,0.6,0.66
0.5,0.58,0.51,0.54,0.62,0.66
0.56,0.62,0.42,0.5,0.62,0.66
0.61,0.65,0.31,0.42,0.62,0.66
0.67,0.72,0.24,0.36,0.62,0.66
0.72,0.75,0.17,0.28,0.61,0.66
0.78,0.73,0.1,0.17,0.58,0.66
0.83,0.81,0.05,0.09,0.57,0.66
0.89,1.0,0.01,0.03,0.56,0.66
0.94,0.0,0.0,0.0,0.56,0.66
1.0,0.0,0.0,0.0,0.56,0.66
