threshold,precision,recall,f1,accuracy,auc
0.0,0.44,1.0,0.62,0.44,0.66
0.06,0.44,1.0,0.62,0.44,0.66
0.11,0.44,1.0,0.62,0.44,0.66
0.17,0.45,1.0,0.62,0.45,0.66
0.22,0.46,0.97,0.62,0.48,0.66
0.28,0.48,0.94,0.64,0.52,0.66
0.33,0.5,0.88,0.64,0.56,0.66
0.39,0.51,0.77,0.62,0.57,0.66
0.44,0.53,0.69,0.6,0.59,0.66
0.5,0.55,0.59,0.57,0.6,0.66
0.56,0.58,0.49,0.53,0.61,0.66
0.61,0.61,0.38,0.47,0.62,0.66
0.67,0.66,0.28,0.4,0.62,0.66
0.72,0.74,0.21,0.32,0.61,0.66
0.78,0.72,0.13,0.21,0.59,0.66
0.83,0.76,0.07,0.13,0.58,0.66
0.89,0.8,0.03,0.05,0.56,0.66
0.94,1.0,0.0,0.0,0.56,0.66
1.0,0.0,0.0,0.0,0.56,0.66
