threshold,precision,recall,f1,accuracy,auc
0.0,0.44,1.0,0.62,0.44,0.67
0.06,0.44,1.0,0.62,0.44,0.67
0.11,0.44,1.0,0.62,0.44,0.67
0.17,0.45,1.0,0.62,0.45,0.67
0.22,0.46,0.99,0.63,0.47,0.67
0.28,0.47,0.96,0.63,0.51,0.67
0.33,0.5,0.91,0.64,0.55,0.67
0.39,0.52,0.85,0.64,0.58,0.67
0.44,0.53,0.75,0.62,0.59,0.67
0.5,0.54,0.58,0.56,0.59,0.67
0.56,0.6,0.46,0.52,0.62,0.67
0.61,0.64,0.33,0.44,0.62,0.67
0.67,0.74,0.24,0.36,0.62,0.67
0.72,0.78,0.15,0.25,0.6,0.67
0.78,0.74,0.07,0.13,0.57,0.67
0.83,0.93,0.03,0.06,0.57,0.67
0.89,0.0,0.0,0.0,0.56,0.67
0.94,0.0,0.0,0.0,0.56,0.67
1.0,0.0,0.0,0.0,0.56,0.67
